CANT_START_SINGLEPLAYER = "שגיאה: לא ניתן ליצור תהליך משחק יחיד." HELP_SAVEITEMS = "שמור שלל" HELP_SAVEITEMS_TEXT = "שמור שלל \ n \ n השתמש באתך לקבורה ו \ n שמור את הפריטים שלך באדמה. \ N \ n וודא שאתה עומד על אותה נקודה \ nexact כדי להחזיר את האוצר שוב למועד מאוחר יותר." HELP_KARMA = "קארמה" HELP_KARMA_TEXT = "קארמה \ n \ n אם תתקוף שחקנים אחרים \ nyour קארמה תידרדר ושם \ nyour יהפוך לאדום. \ N \ n קארמה משתפרת עם הזמן אם \ nyou לא יפגע בשחקנים אחרים. \ N \ n שחקנים עם שמות מוזהבים הם \ n לא נזק לפגיעות של שחקנים אחרים \ פרט למכוניות בגלל \ n 100% קארמה שלהם. " TUTORIAL_MESSAGE_7 = "רמז: שים פריט בניין בחריץ היד שלך כדי לבנות אותו." TUTORIAL_MESSAGE_8 = "רמז: לחץ לחיצה ימנית על שחקן אחר כדי לפתוח את הפרופיל שלו." TUTORIAL_MESSAGE_9 = "רמז: תקוף עם האת שלך לקבור את הפריטים שלך באדמה." TUTORIAL_MESSAGE_10 = "רמז: החזק את העכבר הימני כדי לסובב. לחץ על שטח כדי לבנות." TOOLTIP_RESOURCE = "התקפה לבזוז" TOOLTIP_ITEMSTORAGE = "לחץ על E כדי לפתוח" TOOLTIP_INTERACT = "לחץ על E כדי לקיים אינטראקציה" TUTORIAL_ISLAND_PICKUPSTICK = "ראה את המקל? הרם אותו עם E." TUTORIAL_ISLAND_OPENINVENTORY = "פתח את המלאי שלך עם TAB או עם הסמל משמאל." TUTORIAL_ISLAND_CLICKTARGET = "לחץ על חיה או החזק שטח כדי לתקוף אותה." TUTORIAL_ISLAND_TARGETRING = "הטבעת האדומה סביב היעד שלך מצביעה על בריאות היעד שלך." TUTORIAL_ISLAND_CRAFTING = "לחץ על C כדי לפתוח את תפריט העיצוב." TUTORIAL_ISLAND_CRAFTCAMPFIRE = "צור מדורה וגרור אותו לחריץ היד שלך במלאי שלך." TUTORIAL_HINT_BUILDING = "הכניס בניין לחריץ \ nhand שלך כדי לבנות אותו." TUTORIAL_ISLAND_BUILD = "לחץ על שטח כדי לבנות את הולוגרמת הטיוטה הכחולה. סובב אותו עם העכבר הימני." TUTORIAL_ISLAND_IGNITEFIRECOOK = "הצית את האש באמצעות E ושחרר את פריטי הגלם שלך לידו כדי לבשל אותם." TUTORIAL_ISLAND_GETONBOAT = "קפטן אהוי! עלה על הסירה אם אתה מוכן." TUTORIAL_ISLAND_FOLLOWSIGNS = "עקוב אחר השילוט כדי לקבל שליחות." TUTORIAL_ISLAND_HARVEST = "תקפו עץ לאיסוף עץ." TUTORIAL_ISLAND_MAP = "לחץ על M כדי לפתוח את המפה." TUTORIAL_ISLAND_CHAT = "לחץ על T או Enter כדי לשוחח באופן גלובלי או מקומי." EVENT_4 = "אין דגים מסביב" EVENT_5 = "יותר מדי משימות פעילות" EVENT_7 = "כבר במשימה זו" EVENT_8 = "מחוץ לתחמושת" EVENT_9 = "יציאה חסומה" EVENT_10 = "אי אפשר לפגוע בקדושים" EVENT_11 = "בניין תוקן "STEAM_INV_GET_KEY =" קבל מפתח 1 "STEAM_INV_GET_KEYS =" קבל 5 מפתחות "STEAM_INV_COMMUNITY_MARKET =" פתח \ n קהילה \ nMarket "STEAM_INV_SELL =" למכור "STEAM_INV_OPEN_CASE =" מקרה פתוח "STEAM_UNAM =" ... "STEAM_INV_NEW_ITEM =" הפריט החדש שלך: "STEAM_PLEASE_REVIEW =" בבקשה השאר \ n סקירה נחמדה אם אתה נהנה \ n ממימונה. עוזר לנו \ n הרבה. תודה! \ N \ n <color = \ "# 87a9b0 \"> כתוב עיין </ color> "STEAM_OPEN_CASE =" פתח תיק כדי להשיג \ n Steam אקראי \ n קוסמטיקה מלאי \ ניטם (כובע או עור). " STEAM_BLUE_ICON = "עקוב אחר הכובע הכחול \ ניקונים כדי להגיע למלאי המלאי שלך." ANTI_SPAM_CHAT = "<color = \" # ff0000 \ "> אנא אל תספאם את הצ'אט. הצ'אט הושבת זמן מה. </ Color>" SHOP = "חנות" ITEMSHOP_DESC = "לחץ על פריט כדי לקנות או למכור אותו. \ מחירים עשויים להשתנות בכל חנות. " ITEMSHOP_TOO_LESS_GOLD = "לא מספיק \ n נאגטס זהב. \ N אתה צריך:" REPAIR_NPC_NO_NEED = "פריט זה לא \ n צריך לתקן." REPAIR_NPC_HOWTO = "שים את הפריט שאתה \ n רוצה לתקן \ n בידך." DROP_ITEM_HOWTO = "גרור פריט לכאן כדי \ n להזכיר אותו על האדמה." PLAYERS_ONLINE_DESC = "קליק שמאלי: פתח פרופיל קיטור / לחיצה ימנית: <color = \" # bb6666 \ "> השתק </ color> / בטל השתקה" PLAYERS_INVITE_DESC = "לחץ על הנגן שברצונך להזמין למסיבה שלך." NPC_TALK_KEEPMOVING = "המשך לנוע." NPC_TALK_PHARMACY = "יש לי כדורים שאני חייב לקחת." NPC_TALK_SHOP_FOOD = "רעבים? בוא הנה!" NPC_TALK_SHOP_AMMO = "לצאת לציד? אני יכול לעזור." NPC_TALK_MISSION = "יש לי עבודה קטנה עבורך." NPC_TALK_REPAIR = "רוצה שאני יתקן את הפריטים שלך?" NPC_TALK_SHOP = "קנה ומוכר כל דבר! המחירים הטובים ביותר!" NPC_TALK_SHOP_RESOURCES = "צריך קצת עץ? אבן? מתכת? או אולי בד?" PARTY_INVITE = "הזמן" PARTY_KICK = "בעיטה" PARTY_PROMOTE = "פרו / הדגמה" PARTY = "מסיבה" PARTY_SENT_INVITE = "הוזמן שחקן!" PARTY_POPUP_INVITED = "\ n הזמין אותך \ n למסיבה שלו / שלה." PARTY_POPUP_ALREADY_IN_PARTY = "\ n כבר במסיבה \ na." PARTY_POPUP_PRODEMOTED = "\ n שינו את דירוג \ n המפלגה שלך." PARTY_POPUP_KICKED = "\ n בעט לך \ n מהמסיבה." PARTY_POPUP_FULL = "המסיבה \ n כבר מלא." PARTY_DESCRIPTION = "הזמן שחקן לפתוח מסיבה. \ N \ n חברי המפלגה מסוגלים להשתמש בדלתות \ n וגם סלילי טסלה אחד מהשני." MISSION = "משימה" LOCATION = "מיקום" REWARD = "תגמול" TIME_LEFT = "זמן נותר" MISSION_TYPE_1 = "השמיד" MISSION_TYPE_2 = "להרוג" MISSION_TYPE_3 = "הצלה" MISSION_PERSON_1 = "השומה" MISSION_PERSON_2 = "The Major" MISSION_PERSON_2 = " "הקפטן" MISSION_PERSON_4 = "החייל" MISSION_PERSON_5 = "הגנב" MISSION_PERSON_6 = "בן הערובה" MISSION_PERSON_7 = "המרגל" MISSION_PERSON_8 = "הסוכן" MISSION_OBJECT_1 = "מאגר הדלק" MISSION_OBJECT_2 = "מחולל הכוח" MISSION_OBJECT_3 ​​= "התקשורת" MISSION_OBJECT_4 = "האספקה" FISTS = "אגרופים" BERRIES = "Berries" BERRIES_DESC = "berries." \ n ניתן להשתמש כזרע. " POTATOES_RAW = "תפוח אדמה גולמי" POTATOES_RAW_DESC = "זרוק למדורה בגלל \ n מקסימום טעם. \ N ניתן להשתמש כזרע." POTATOES_COOKED = "תפוח אדמה מבושל" POTATOES_COOKED_DESC = "הכי מוגש עם בירה צוננת." MEAT_RAW = "בשר גולמי" MEAT_RAW_DESC = "מריח מצחיק. עדיף לזרוק אותו למדורה לפני שאוכלים אותה." MEAT_COOKED = "בשר מבושל" MEAT_COOKED_DESC = "אני אוהב צמחונים. \ N הטעם שלהם מדהים." EGGS_RAW = "ביצה גולמית" EGGS_RAW_DESC = "עדיף לזרוק אותה לבערה לפני שתאכל אותה." EGGS_COOKED = "ביצה מבושלת" EGGS_COOKED_DESC = "צד שטוף למעלה." FISH_RAW = "דגים גולמיים" FISH_RAW_DESC = "עדיף לזרוק אותו לבערה לפני שתאכל אותו." FISH_COOKED = "דגים מבושלים" FISH_COOKED_DESC = "מצאת את נמו." ENERGY_BAR = "בר ממתקים" ENERGY_BAR_DESC = "מכיוון שיש לך \ n בעיות יותר מכאב שיניים." MUSHROOMS = "פטריה" MUSHROOMS_DESC = "מצייר את האפוקליפסה בצבעים הבהירים ביותר." RUMBOTTLE = "בקבוק רום" RUMBOTTLE_DESC = "אלכוהול, הגורם והפתרון לבעיות \ nof life" CANNED_FOOD = "אוכל משומר" CANNED_FOOD_DESC = "טעים כמו עיתון ישן, \ n אבל זה יותר טוב מכלום." WATER_DIRTY = "מים מלוכלכים" WATER_DIRTY_DESC = "לבשל את זה על האח שלך \ n כדי להפוך אותו לשתייה." WATER = "מים" WATER_DESC = "זה כמו בירה \ n אבל בלי טעם." BEER = "בירה" BEER_DESC = "כל כך הרבה יותר מאשר \ n פשוט לשתות ארוחת בוקר." SODA = "סודה" SODA_DESC = "מרק הסוכר הזה הוא \ מציל חיים אמיתי." WINE = "יין" WINE_DESC = "אתה לא יכול לקנות אושר. \ N אבל אתה יכול לקנות יין." C_WOODENDOOR = "דלת עץ" C_WOODENDOOR_DESC = "רק יש לך את המפתחות \ n כדי לפתוח את הדלת הזו." C_METALDOOR = "דלת מתכת" C_METALDOOR_DESC = "רק יש לך את המפתחות \ n כדי לפתוח את הדלת הזו." C_WOODWALL = "גדר עץ" C_WOODWALL_DESC = "שומר על השלווה בפנים \ n והכאב בחוץ." C_STONEWALL = "קיר האבן" C_STONEWALL_DESC = "שומר על השלווה בפנים \ n והכאב בחוץ." C_METALWALL = "קיר מתכת" C_METALWALL_DESC = "שומר על השלווה בפנים \ n והכאב בחוץ." C_WOODWALLWINDOW = "גדר סתומה" C_WOODWALLWINDOW_DESC = "שומר על השלווה בפנים \ n והכאב בחוץ." C_CAMPFIRE = "מדורה" C_CAMPFIRE_DESC = "זה יהפוך את הגלם \ nfood שלך לאכיל וטעים אם הוא מואר." C_WOODCLUB = "מועדון העץ" C_WOODCLUB_DESC = "דעה אמיתית לשעבר." C_FISHINGROD = "חכה" C_FISHINGROD_DESC = "לתקוף את הים \ n כדי לתפוס דגים." C_BED = "מיטה" C_BED_DESC = "אתה תשמור על \ nbed שלך אם תמות רחוק \ n אפילו רחוק ממנו." C_LOOTBOX = "ארגז השלג" C_LOOTBOX_DESC = "בנה זאת בכל מקום \ n כדי לאחסן את הפריטים שלך." C_TESLACOIL = "סליל טסלה" C_TESLACOIL_DESC = "הופך את הפושטים לטוסט. \ N אל תקוף את הבעלים." TNT = "חומרי נפץ" TNT_DESC = "הכניסו לחריץ הידיים \ n כדי לשתול. ואז תפעל." 45 = ".45 תחמושת" 45_DESC = מחרוזת. ריק 9 = "9 מ"מ תחמושת" 9_DESC = מחרוזת. ריק 556 = ".556 תחמושת" 556_DESC = מחרוזת. ריק 762 = "7.62 מ"מ תחמושת" 762_DESC = מחרוזת. ריק SHELL = "12 תחמושת מד" SHELL_DESC = מחרוזת. ריק C_ARROW = "תחמושת חץ" C_ARROW_DESC = מחרוזת. ריק C_STONE = "תחמושת אבן" C_STONE_DESC = מחרוזת. ריק PISTOL = "קוקיה מדברית" PISTOL_DESC = "מדוע יש eng an \ REVOLVER = "Revolver" REVOLVER_DESC = "ריק יאהב את האקדח הזה." SMG = "SMG" SMG_DESC = "קופסה קטנה" SHOTGUN = "רובה ציד" SHOTGUN_DESC = "המפץ הגדול הוגדר מחדש" SNIPERRIFLE = "רובה צלפים" SNIPERRIFLE_DESC = "זה שייך \ לא למוזיאון." AK47 = "קולושניקיב" AK47_DESC = "נראה כמו העתק \ nbad." C_RIFLE = "רובה עלוב" C_RIFLE_DESC = מחרוזת. ריק C_REVOLVER = "מהפך עלוב" C_REVOLVER_DESC = מחרוזת. ריק C_SHOTGUN = "צנרת רובה ציד" C_SHOTGUN_DESC = "קצב אש איטי, נמוך \ לא. C_SLINGSHOT = "הקלע" C_SLINGSHOT_DESC = "בחירה ראשונה עבור \ nevery 13 y / o." C_BOW = "קשת" C_BOW_DESC = "רובין הוד היה \ n להיות גאה." FIREAXE = "גרזן אש" FIREAXE_DESC = "לא ממש \ n עשוי מאש" MACHETE = "מצ'טה" MACHETE_DESC = string.Empty KNIFE = "סכין" KNIFE_DESC = "שיהיה לך יום סכין!" HAMMER = "האמר" HAMMER_DESC = "השתמש בזה כדי לתקן \ n בניינים או כלי רכב." PLUNGER = "טובל" PLUNGER_DESC = "הנשק של \ na המלך האמיתי." KATANA = "קטאנה" KATANA_DESC = "אין עט חזק יותר \ n מהחרב הזו." GIANTSWORD = "חרב ענק" GIANTSWORD_DESC = "הדבר הזה \ n צודק מגוחך." MUTANT_CLAW = "זרוע מוטציה" MUTANT_CLAW_DESC = "פשוט נותנים יד \ n עזרה." UZI = "אקדח גנגסטה" UZI_DESC = "אחוז אחיזה בצד לצורך \ n מקסימום קרירות." AUTOSHOTGUN = "רובה אוטומטית" AUTOSHOTGUN_DESC = "חולל הרס \ nsince 1951" TOMMYGUN = "אקדח עתיק" TOMMYGUN_DESC = "המועדף על סבא" CROWBAR = "המדרכה" CROWBAR_DESC = "זה אומר \" נכס של גורדון \ " WRENCH_DESC = "מתאים לתיקון \ n לשחרור ברגים." CLEAVER = "קליבר" CLEAVER_DESC = "אל תתעסקו \ n עם השף!" C_SPADE = "חפירה" C_SPADE_DESC = "חפור חורים (מבטל) להסתיר \ ניט
היי זה! "
C_STONEHATCHET = "מחורף אבן"
C_STONEHATCHET_DESC = "עשוי מאבנים \ n ומקל."
C_KNIFE = "סכין גרוטאות"
C_KNIFE_DESC = "בחירה ראשונה בהפסקת בית סוהר."
C_TORCH = "לפיד"
C_TORCH_DESC = "נראה כמו האיש \ n שמירה שאתה".
C_MACHETE = "גרוטאות מצ'טה"
C_MACHETE_DESC = "אני מקווה שצילמת טטנוס."
BACKPACK = "תרמיל"
BACKPACK_DESC = מחרוזת. ריק
CLOTHBOX = "Airdrop"
CLOTHBOX_DESC = מחרוזת. ריק
עץ = "עץ"
WOOD_DESC = "ניתן להשתמש כחומר לעיצוב."
METAL = "מתכת"
METAL_DESC = "יכול לשמש כחומר \ crafting."
STONE = "אבן"
STONE_DESC = "יכול לשמש כחומר לעיצוב."
CLOTH = "בד"
CLOTH_DESC = "ניתן להשתמש כחומר לעיצוב."
C_BANDAGES = "תחבושות"
C_BANDAGES_DESC = "צרכו את זה כדי להפסיק דימום."
ANTIBIOTICS = "אנטיביוטיקה"
ANTIBIOTICS_DESC = "צרכו את זה כדי להפסיק זיהום."
PAINKILLERS = "משככי כאבים"
PAINKILLERS_DESC = "צרכו את זה בכדי להפסיק את הכאב."
MEDPACK = "חבילת מדי"
MEDPACK_DESC = "צרכו את זה כדי להחזיר \ n בריאות. גם מפסיק \ nbleble וכאב."
KEVLARVEST = "אפוד בליסטי"
KEVLARVEST_DESC = "שריון הייטק כדי להגן על גופך."
C_SCRAPVEST = "שריון עץ"
C_SCRAPVEST_DESC = "שריון מעוצב כדי \ n להגן על גופך."
C_METALVEST = "שריון מתכת"
C_METALVEST_DESC = "שריון מעוצב להגנה על גופך."
C_LEATHERVEST = "שריון עור"
C_LEATHERVEST_DESC = "שריון מעוצב להגנה על גופך."
GUARDIANVEST = "אפוד השומר"
GUARDIANVEST_DESC = "שריון הייטק כדי להגן על גופך."
SNEAKERS = "נעלי ספורט"
SNEAKERS_DESC = "לגרום לך לרוץ מהר יותר \ n מהרוח."
C_SHOES = "נעלי סמרטוט"
C_SHOES_DESC = "הגדל את המהירות \ nrunning שלך."
ARMYCAP = "כובע הצבא"
ARMYCAP_DESC = מחרוזת. ריק
WOOLCAP = "כובע צמר"
WOOLCAP_DESC = מחרוזת. ריק
PIRATECAP = "כובע פיראטים"
PIRATECAP_DESC = מחרוזת. ריק
BUNNYEARS = "Bunnyears"
BUNNYEARS_DESC = "אלה גורמים לך \ n להרגיש כאילו אתה \ nrun מהר יותר"
BASEBALLCAP = "כובע בייסבול"
BASEBALLCAP_DESC = מחרוזת. ריקה
SANTAHAT = "כובע סנטה"
SANTAHAT_DESC = "הו הו / הושיט את הידיים שלך!"
COWBOYHAT = "כובע קאובוי"
COWBOYHAT_DESC = "בן זוג נורא!"
RUSSIACAP = "כובע אוזני מרפרף"
RUSSIACAP_DESC = מחרוזת. ריק
TOPHAT = "כובע עליון"
TOPHAT_DESC = "אדוני, נראה מדהים!"
BEANIECAP = "כובע כפה"
BEANIECAP_DESC = מחרוזת. ריק
ROADCONE = "קון כביש"
ROADCONE_DESC = "זה יהפוך את הכובע למעודן."
BUCKET = "קסדת דלי"
BUCKET_DESC = "אתה האביר \ n גרוטא."
BIKERHELMET = "קסדת אופנוען"
BIKERHELMET_DESC = "אחי, איפה \ n האופניים שלי?"
HORSEHEAD = "מסכת סוסים"
HORSEHEAD_DESC = מחרוזת. ריק
GOLD = "נאגטס זהב"
GOLD_DESC = "המטבע היחיד שנותר \ n כאשר הוא לא פוגע במאוורר."
CONDITION_FREEZING = "הקפאת \ n \ n בנה מדורה או \ n הקלד בגדים מסוימים. \ N \ n הנמכת אנרגיה"
CONDITION_BLEEDING = "דימום \ n \ n צור תחבושות מסוימות \ n וצרכו אותן. \ N \ n מונע את הבריאות"
CONDITION_RADIATION = "קרינה \ n \ n צא מאזור \ n קרינה. \ NREDUCES בריאות \ n מגניב אנרגיה"
CONDITION_INFECTION = "זיהום \ n \ n מצא אנטיביוטיקה מסוימת \ n כדי לרפא את הזיהום. \ N \ n הנחות בריאות"
CONDITION_STARVATION = "רעב \ n \ n מצא אוכל כדי \ n למלא את בטנך. \ N \ n מונע את הבריאות"
CONDITION_PAIN = "כאב \ n \ n מצא משככי כאבים כדי \ n לרפא את הכאב. \ N \ n הרדיפות מהירות"
PLAYERCOUNT = "ניצולים ברשת"
CURRENCY = "זהב"
קנייה = "קנה"
SELL = "למכור"
REPAIR = "תיקון"
MAP_NAMES = "A: עיר מולדת \ n: גסטאון \ n: טרמינוס \ n: ונורה \ n: פורט בנינג \ n תחנת האשפה \ nG: טלהאסי \ n נהר \ nI: חוות גז \ nJ: תחנת כוח \ nK: אלכסנדריה \ nL: אזור 42 \ nM: מדיסון \ nN: עמק \ nO: כלא "
MISSION_LOCATION_1 = "עיר מולדת"
MISSION_LOCATION_2 = "גסטאון"
MISSION_LOCATION_3 = "Terminus"
MISSION_LOCATION_4 = "Venore"
MISSION_LOCATION_5 = "Fort Benning"
MISSION_LOCATION_6 = "תחנת האשפה"
MISSION_LOCATION_7 = "טלהאסי"
MISSION_LOCATION_8 = "נהר"
MISSION_LOCATION_9 = "חוות גז"
MISSION_LOCATION_10 = "תחנת כוח"
MISSION_LOCATION_11 = "שדה תעופה"
MISSION_LOCATION_12 = "אלכסנדריה"
MISSION_LOCATION_13 = "אזור 42"
MISSION_LOCATION_14 = "עמק"
MISSION_LOCATION_15 = "כלא"
MENU_CREDITS = "משחק מאת: גבריאל מורגנשטרן, אמנות מאת: אלכס לוסת ', ניקלאס האלין, יבגני ליאפין, אדריאנו דה רג'ינו, תומאס גרונברג. תודה מיוחדת: כריסטין נ', אלכס ה., יורן ג'יי, מאקי ל., אנדראה ש. וכל בודקי אלפא / בטא! "
© 2020 GitHub, Inc.
